Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Europe,France,Terega SA,Corporate Bonds,42848645,4876201,France
Europe,France,Total Capital International SA,Corporate Bonds,806889756,91824537,France
Europe,France,Total Capital SA,Corporate Bonds,177970114,20253106,France
Europe,France,TOTAL SA,Corporate Bonds,1662771730,189224418,France
Europe,France,UNEDIC ASSEO,Government Related Bonds,1472794697,167604918,France
Europe,France,Veolia Environnement SA,Corporate Bonds,298372830,33955007,France
Europe,France,Vinci SA,Corporate Bonds,241695419,27505083,France
Europe,France,Vivendi SA,Corporate Bonds,701493283,79830356,France
Europe,Germany,Aareal Bank AG,Corporate Bonds/Securitized Bonds,4427757871,503881496,Germany
Europe,Germany,Allianz Finance II BV,Corporate Bonds,451836286,51419240,Netherlands
Europe,Germany,Allianz SE,Corporate Bonds,526074868,59867635,Germany
Europe,Germany,Bayerische Landesbank,Securitized Bonds,503147627,57258501,Germany
Europe,Germany,Bayerische Landesbodenkreditanstalt,Government Related Bonds,517976575,58946044,Germany
Europe,Germany,BASF SE,Corporate Bonds,668578545,76084639,Germany
Europe,Germany,Berlin Hyp AG,Corporate Bonds/Securitized Bonds,4611365970,524776208,Germany
Europe,Germany,Bertelsmann SE & Co KGaA,Corporate Bonds,312396488,35550907,Germany
Europe,Germany,BMW Finance NV,Corporate Bonds,256707434,29213460,Netherlands
Europe,Germany,Commerzbank AG,Corporate Bonds/Securitized Bonds,7176795045,816723572,Germany
Europe,Germany,Continental AG,Corporate Bonds,197320258,22455163,Germany
Europe,Germany,Daimler AG,Corporate Bonds,144448042,16438274,Germany
Europe,Germany,DekaBank Deutsche Girozentrale,Government Related Bonds,206326204,23480046,Germany
Europe,Germany,Deutsche Apotheker-und Aerztebank eG,Securitized Bonds,698051801,79438713,Germany
Europe,Germany,Deutsche Bahn Finance GMBH,Government Related Bonds,53806430,6123204,Germany
Europe,Germany,Deutsche Bank AG,Corporate Bonds/Securitized Bonds,3219330430,366361730,Germany
Europe,Germany,Deutsche Hypothekenbank AG,Securitized Bonds,2953783645,336142347,Germany
Europe,Germany,Deutsche Kreditbank AG,Securitized Bonds,290335860,33040395,Germany
Europe,Germany,Deutsche Pfandbriefbank AG,Securitized Bonds,4000166089,455221295,Germany
Europe,Germany,Deutsche Post AG,Corporate Bonds,50364505,5731511,Germany
Europe,Germany,Deutsche Post Finance BV,Corporate Bonds,107529845,12236961,Netherlands
Europe,Germany,Deutsche Telekom AG,Corporate Bonds,1349080412,153526158,Germany
Europe,Germany,Deutsche Telekom International Finance BV,Corporate Bonds,3427365305,390036223,Netherlands
Europe,Germany,Deutsche Wohnen SE,Corporate Bonds,499954199,56895087,Germany
Europe,Germany,DZ HYP AG,Securitized Bonds,1836937786,209044620,Germany
Europe,Germany,EMD Finance LLC,Corporate Bonds,920171394,104716055,United States
Europe,Germany,Erste Abwicklungsanstalt,Government Related Bonds,991858667,112874110,Germany
Europe,Germany,Eurogrid GmbH,Corporate Bonds,180644865,20557494,Germany
Europe,Germany,E.ON SE,Corporate Bonds,522137871,59419602,Germany
Europe,Germany,FMS Wertmanagement,Government Related Bonds,6788881433,772578771,Germany
Europe,Germany,Gemeinsame Deutsche Bundeslaender,Government Related Bonds,498258282,56702091,Germany
Europe,Germany,Government of Germany,Government,98547544575,11214769562,Germany
Europe,Germany,Grenke Finance Plc,Corporate Bonds,24795210,2821710,Ireland
Europe,Germany,Hamburger Sparkasse AG,Securitized Bonds,752158459,85596083,Germany
Europe,Germany,Hamburg Commercial Bank AG,Securitized Bonds,1140383267,129776298,Germany
Europe,Germany,Hella GmbH & Co KGaA,Corporate Bonds,70677658,8043160,Germany
Europe,Germany,Henkel AG & Co KGaA,Corporate Bonds,603797615,68712530,Germany
Europe,Germany,HSH Finanzfonds AoeR,Government Related Bonds,1105203345,125772802,Germany
Europe,Germany,innogy Finance BV,Corporate Bonds,2386298934,271562247,Netherlands
Europe,Germany,Investitionsbank Schleswig-Holstein,Government Related Bonds,251802243,28655246,Germany
Europe,Germany,ING-DiBa AG,Securitized Bonds,600278727,68312078,Germany
Europe,Germany,Kreditanstalt fur Wiederaufbau,Government Related Bonds,29123262652,3314244723,Germany
Europe,Germany,Landesbank Baden-Wuerttemberg,Government Related Bonds,2362832495,268891752,Germany
Europe,Germany,Landesbank Hessen-Thueringen Girozentrale,Securitized Bonds,3873646851,440823330,Germany
Europe,Germany,Landeskreditbank Baden-Wuerttemberg Foerderbank,Government Related Bonds,256185646,29154080,Germany
Europe,Germany,Landwirtschaftliche Rentenbank,Government Related Bonds,2244642742,255441688,Germany
Europe,Germany,Land Berlin,Government Related Bonds,495138846,56347097,Germany
Europe,Germany,Land Thueringen,Government Related Bonds,501798585,57104979,Germany
Europe,Germany,LEG Immobilien AG,Corporate Bonds,323076985,36766354,Germany
